n_CF,n_CT,n_TC,n_BW,n_DC,n_SC,n_NC,n_paragraphs,paragraph_0p,paragraph_25p,paragraph_75p,paragraph_100p
4,0,0,14,7,8,15,47,No categories identified.,BW - Build local workspace,No categories identified.,CF - Contribution flow
2,0,0,0,0,4,5,10,No categories identified.,No categories identified.,CF - Contribution flow,SC - Submit the changes
7,3,2,2,0,26,21,60,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes
0,0,0,0,1,1,5,6,No categories identified.,No categories identified.,No categories identified.,No categories identified.
10,1,0,12,20,30,48,120,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.
2,0,0,3,3,12,17,36,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.
3,1,5,5,8,29,57,107,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes
3,0,0,21,19,34,46,122,No categories identified.,DC - Deal with the code,SC - Submit the changes,BW - Build local workspace
2,0,0,3,0,3,5,12,No categories identified.,BW - Build local workspace,SC - Submit the changes,No categories identified.
2,0,0,0,2,2,7,12,CF - Contribution flow,No categories identified.,DC - Deal with the code,No categories identified.
1,0,1,0,3,21,21,46,No categories identified.,No categories identified.,CF - Contribution flow,No categories identified.
0,0,0,0,1,3,26,29,No categories identified.,No categories identified.,No categories identified.,No categories identified.
0,0,0,1,4,2,31,37,No categories identified.,No categories identified.,No categories identified.,DC - Deal with the code
7,1,11,0,1,13,41,73,No categories identified.,No categories identified.,TC - Talk to the community,No categories identified.
7,1,11,4,1,20,41,84,No categories identified.,No categories identified.,TC - Talk to the community,No categories identified.
4,0,0,0,0,3,14,20,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes
1,0,3,0,0,2,7,12,TC - Talk to the community,No categories identified.,SC - Submit the changes,TC - Talk to the community
0,0,0,3,6,5,3,16,No categories identified.,DC - Deal with the code,SC - Submit the changes,DC - Deal with the code
0,0,0,0,0,2,4,5,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.
2,1,0,0,1,14,14,31,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes
0,0,0,2,0,9,6,16,No categories identified.,BW - Build local workspace,SC - Submit the changes,SC - Submit the changes
1,0,0,0,3,2,10,15,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes
7,0,0,18,3,46,27,100,No categories identified.,BW - Build local workspace,BW - Build local workspace,BW - Build local workspace
4,2,0,0,44,54,48,151,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes
6,0,0,0,1,7,13,26,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.
1,0,0,0,1,3,7,11,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes
13,0,0,2,10,26,26,76,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes
7,0,0,1,1,9,12,29,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.
2,0,0,1,1,4,4,11,No categories identified.,BW - Build local workspace,No categories identified.,No categories identified.
1,0,0,0,28,5,14,47,No categories identified.,No categories identified.,DC - Deal with the code,No categories identified.
4,1,0,3,2,10,16,35,No categories identified.,No categories identified.,CF - Contribution flow,No categories identified.
3,0,0,0,2,8,5,17,No categories identified.,CF - Contribution flow,DC - Deal with the code,DC - Deal with the code
0,0,0,0,0,4,3,6,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes
5,0,1,7,5,5,19,41,No categories identified.,No categories identified.,BW - Build local workspace,DC - Deal with the code
1,0,0,1,0,3,4,8,No categories identified.,CF - Contribution flow,No categories identified.,SC - Submit the changes
0,0,1,1,0,0,10,11,No categories identified.,No categories identified.,No categories identified.,No categories identified.
2,0,0,12,5,5,17,40,No categories identified.,No categories identified.,No categories identified.,BW - Build local workspace
2,2,0,8,6,21,36,74,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.
0,0,0,0,3,2,27,31,No categories identified.,No categories identified.,No categories identified.,No categories identified.
1,0,1,2,2,4,18,27,No categories identified.,No categories identified.,No categories identified.,No categories identified.
0,0,14,5,19,19,36,92,No categories identified.,No categories identified.,DC - Deal with the code,DC - Deal with the code
1,0,14,16,10,13,44,97,No categories identified.,BW - Build local workspace,TC - Talk to the community,No categories identified.
1,0,0,18,13,24,16,71,DC - Deal with the code,DC - Deal with the code,SC - Submit the changes,DC - Deal with the code
1,0,0,1,0,5,8,14,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes
1,0,1,0,3,2,22,28,No categories identified.,No categories identified.,No categories identified.,No categories identified.
3,0,1,20,4,6,16,49,No categories identified.,BW - Build local workspace,DC - Deal with the code,SC - Submit the changes
0,0,0,0,0,0,15,14,No categories identified.,No categories identified.,No categories identified.,No categories identified.
2,0,0,10,3,18,26,58,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes
1,0,0,0,5,8,19,32,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes
5,1,1,1,1,3,19,30,No categories identified.,No categories identified.,CT - Choose a task,No categories identified.
1,0,0,7,4,11,10,32,No categories identified.,SC - Submit the changes,DC - Deal with the code,BW - Build local workspace
1,0,1,0,2,5,10,18,No categories identified.,SC - Submit the changes,No categories identified.,TC - Talk to the community
2,0,0,6,1,9,4,21,No categories identified.,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes
2,0,0,0,1,6,8,16,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.
2,0,0,0,1,5,18,25,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes
1,1,1,1,11,30,91,135,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.
0,0,0,0,1,9,11,20,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.
0,1,1,0,8,10,7,26,No categories identified.,SC - Submit the changes,DC - Deal with the code,No categories identified.
2,0,0,2,23,8,21,55,No categories identified.,SC - Submit the changes,No categories identified.,DC - Deal with the code
1,0,0,2,6,18,28,54,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.
5,1,0,0,3,5,30,43,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.
4,2,1,0,0,3,15,24,No categories identified.,No categories identified.,No categories identified.,No categories identified.
0,0,0,0,0,4,4,7,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes
5,1,0,3,11,27,34,80,No categories identified.,DC - Deal with the code,No categories identified.,No categories identified.
1,0,0,4,4,21,12,41,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes
6,0,0,0,0,4,4,13,No categories identified.,SC - Submit the changes,CF - Contribution flow,CF - Contribution flow
0,0,2,0,0,5,2,8,No categories identified.,SC - Submit the changes,SC - Submit the changes,TC - Talk to the community
1,0,0,4,12,45,16,77,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes
0,0,0,0,0,5,2,6,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes
0,0,0,0,0,5,2,6,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes
6,0,0,0,1,4,4,14,No categories identified.,SC - Submit the changes,CF - Contribution flow,CF - Contribution flow
0,0,2,0,1,5,3,10,No categories identified.,DC - Deal with the code,SC - Submit the changes,TC - Talk to the community
7,0,0,2,0,5,7,20,No categories identified.,SC - Submit the changes,BW - Build local workspace,SC - Submit the changes
1,0,0,24,2,17,13,56,No categories identified.,SC - Submit the changes,BW - Build local workspace,No categories identified.
